session,stimulus_type,nth_stimulus_per_type,difficulty,probability_of_sup,informativity,relevance,effect_size,rating_in_d,rating_error,rating_direction,relevance_obj,relevance_pstand
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,4,7,52,6,50,-0.2,-0.07092787793743735,-0.12907212206256266,correct effdir,0.2,-0.806854954792296
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,5,7,41,7,25,0.8,0.32179719201578266,-0.4782028079842174,correct effdir,0,-1.3569833330597707
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,plot,6,6,43,7,50,0.5,0.24943073588532122,-0.2505692641146788,correct effdir,0,-0.806854954792296
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,1,3,77,6,100,-0.8,-1.044887234634358,0.24488723463435802,correct effdir,0.8,0.29340180174265335
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,2,6,58,6,150,-0.2,-0.285520496357095,0.08552049635709497,correct effdir,0.2,1.3936585582776027
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,3,7,29,6,150,0.5,0.7826041756056644,0.2826041756056644,correct effdir,0,1.3936585582776027
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,4,6,44,6,100,0.2,0.21350271205636884,0.013502712056368826,correct effdir,0,0.29340180174265335
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,5,7,15,6,50,0.8,1.4657381559184335,0.6657381559184334,correct effdir,0,-0.806854954792296
qhGJ5oDWR7ebSFmviMVvxwkZ8sel36cNt6ViEVILvxknsO2VlVhwXLMOQOIAuztT,text,6,6,68,7,150,-0.5,-0.6614259848133475,0.16142598481334747,correct effdir,0.5,1.3936585582776027
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,1,7,38,2,105,0.5,0.4320150735745894,-0.0679849264254106,correct effdir,0,-0.8796575654259066
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,2,7,41,2,124,0.2,0.32179719201578266,0.12179719201578265,correct effdir,0,0.003875143460025799
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,3,7,70,2,135,-0.2,-0.7416143171871158,0.5416143171871157,correct effdir,0.2,0.5153940801834603
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,4,7,34,3,88,0.8,0.5833109516348839,-0.21668904836511615,correct effdir,0,-1.6701868312712145
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,5,7,71,2,141,-0.5,-0.7826041756056643,0.2826041756056643,correct effdir,0.5,0.7944044093053336
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,plot,6,7,71,2,146,-0.8,-0.7826041756056643,-0.017395824394335735,correct effdir,0.8,1.0269130169068947
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,1,7,60,5,128,-0.2,-0.35828690924258333,0.15828690924258332,correct effdir,0.2,0.1898820295412747
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,2,7,67,5,150,0.5,-0.6221311651615697,-1.1221311651615697,false effdir,0,1.2129199029881437
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,3,7,76,5,100,-0.8,-0.9988626635073271,0.19886266350732706,correct effdir,0.8,-1.1121661730274677
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,4,7,59,5,120,0.2,-0.3217971920157825,-0.5217971920157825,false effdir,0,-0.18213174262122311
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,5,7,72,5,150,-0.5,-0.8242623642969309,0.3242623642969309,correct effdir,0.5,1.2129199029881437
feYCE9_aVWymK8llya3H4-PL1qK1NlzvU_ExBSR_qxaHc-iCuf8NfcVDJGa8Pmka,text,6,7,21,5,100,0.8,1.1404518645190194,0.3404518645190193,correct effdir,0,-1.1121661730274677
d46-CGYGein5YPwnLoo3IhOQteqpgqQ596-AH5jw92g-N6Bg8ax_xChKI8yKtFDC,plot,1,2,49,1,5,-0.5,0.03545279005335607,-0.5354527900533561,false effdir,0.5,-0.8261066977483058
d46-CGYGein5YPwnLoo3IhOQteqpgqQ596-AH5jw92g-N6Bg8ax_xChKI8yKtFDC,plot,2,2,39,1,5,0.8,0.3950167667445473,-0.40498323325545277,correct effdir,0,-0.8261066977483058
d46-CGYGein5YPwnLoo3IhOQteqpgqQ596-AH5jw92g-N6Bg8ax_xChKI8yKtFDC,plot,3,2,52,1,5,-0.8,-0.07092787793743735,-0.7290721220625627,correct effdir,0.8,-0.8261066977483058
d46-CGYGein5YPwnLoo3IhOQteqpgqQ596-AH5jw92g-N6Bg8ax_xChKI8yKtFDC,plot,4,2,43,1,5,0.5,0.24943073588532122,-0.2505692641146788,correct effdir,0,-0.8261066977483058
